Model,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC
LightGBM,0.759493670886076,0.5052182163187856,0.25,0.058823529411764705,0.09523809523809523,0.5365275142314991
Majority_Baseline,0.7848101265822784,0.5,0.0,0.0,0.0,0.5
