YEAR_MONTH,SIDO,TARGET_COUNT,RESTAURANT_DENSITY,VIOLATION_RATE,CPI_TOTAL,THI,RATE_SCORE,RATE_TREND,TREND_SCORE,CPI_PRESSURE_SCORE,HOTSPOT_REPEAT_COUNT_3M,HOTSPOT_REPEAT_SCORE,CLIMATE_CAUTION_FLAG,FSIPI,FSIPI_GRADE,TARGET
2026-01,부산광역시,55.0,55922,0.9835127499016488,118.03,37.281032920297086,97.69820971867009,5.022100856792088,93.60613810741688,89.25831202046037,2.0,66.66666666666666,0,92.51065643648765,1등급·매우 높음,1
2026-03,충청남도,63.0,42097,1.4965436967004777,118.8,48.01873224613504,98.9769820971867,25.19651214182748,98.9769820971867,97.9539641943734,1.0,33.33333333333333,0,92.25916453537937,1등급·매우 높음,1
2026-03,대구광역시,22.0,37976,0.5793132504739836,118.8,48.01873224613504,96.67519181585678,1.4738784521918056,84.39897698209718,97.9539641943734,2.0,66.66666666666666,0,91.41091219096334,1등급·매우 높음,1
2026-03,울산광역시,8.0,19964,0.4007212983370066,118.8,48.01873224613504,93.35038363171356,3.3935116058096924,91.81585677749361,97.9539641943734,2.0,66.66666666666666,0,91.06564364876387,1등급·매우 높음,1
2025-12,광주광역시,15.0,22065,0.6798096532970768,117.57,41.42148908059404,97.44245524296676,1.58532891328534,85.16624040920716,84.91048593350384,2.0,66.66666666666666,0,90.02983802216539,1등급·매우 높음,1
2025-11,광주광역시,11.0,22065,0.498527079084523,117.2,49.88159018896363,95.65217391304348,4.052867403688113,92.32736572890026,76.21483375959079,2.0,66.66666666666666,0,89.17306052855926,1등급·매우 높음,1
2025-12,전북특별자치도,18.0,31373,0.5737417524623084,117.57,41.42148908059404,96.41943734015345,12.940254085694946,97.44245524296676,84.91048593350384,1.0,33.33333333333333,0,88.58908780903666,1등급·매우 높음,1
2026-03,부산광역시,33.0,55922,0.5901076499409893,118.8,48.01873224613504,97.18670076726342,0.29609542820934615,68.54219948849105,97.9539641943734,2.0,66.66666666666666,0,88.52088661551578,1등급·매우 높음,1
2025-05,전북특별자치도,67.0,31373,2.1355943008319254,116.27,61.52183005617762,99.48849104859335,17.456967660738915,98.20971867007673,45.78005115089514,2.0,66.66666666666666,0,87.89428815004264,1등급·매우 높음,1
2025-06,광주광역시,24.0,22065,1.087695445275323,116.31,70.97058460731459,98.46547314578005,5.815071351863402,93.86189258312021,54.47570332480819,2.0,66.66666666666666,0,87.76641091219098,1등급·매우 높음,1
2025-12,세종특별자치시,2.0,4829,0.4141644232760406,117.57,41.42148908059404,93.86189258312021,26.818505160405508,99.61636828644501,84.91048593350384,1.0,33.33333333333333,0,87.61722080136401,1등급·매우 높음,1
2025-08,세종특별자치시,11.0,4829,2.277904328018223,116.45,78.49616926828206,99.74424552429667,26.818505160405508,99.61636828644501,63.171355498721226,1.0,33.33333333333333,1,87.5916453537937,1등급·매우 높음,1
2025-07,전북특별자치도,37.0,31373,1.1793580467280784,116.52,77.75407159005208,98.72122762148338,0.6237200141163799,75.1918158567775,67.51918158567774,2.0,66.66666666666666,1,86.1295822676897,1등급·매우 높음,1
2025-03,충청남도,45.0,42097,1.068959783357484,116.29,48.30477583011704,97.9539641943734,2.656797335473801,90.02557544757033,50.127877237851656,2.0,66.66666666666666,0,86.06564364876385,1등급·매우 높음,1
