Feature,Correlation (vs Count)_Before,OddsRatio_Before,P_Value_Before,Correlation (vs Count)_After,OddsRatio_After,P_Value_After,OddsRatio_Delta,P_Value_Delta
THI,-0.0572483416497937,0.7331175379561375,0.0384764611016066,-0.0423484790563896,0.764286789246702,0.0616991041225254,0.03116925129056447,0.023222643020918796
CPI_AGRI,-0.0609552661217802,0.617240386339212,0.0170814754379355,-0.1027633155541603,0.6188024441003303,0.0131570518227679,0.001562057761118285,-0.003924423615167599
CPI_TOTAL,0.0306481714185186,1.3603973429321583,0.1259102881784874,0.0014561209348085,1.3877834116130556,0.0899553194447617,0.027386068680897324,-0.035954968733725695
RESTAURANT_DENSITY,0.556757960997589,1.0136232002682912,0.9176542135795578,0.4217043726017228,1.0031666052322836,0.9800925300376044,-0.010456595036007599,0.06243831645804665
