Feature,Correlation (vs Count),OddsRatio,P_Value
THI,-0.057248341649793776,0.7331175379561375,0.03847646110160663
CPI_AGRI,-0.06095526612178029,0.617240386339212,0.01708147543793559
CPI_TOTAL,0.03064817141851868,1.3603973429321585,0.12591028817848748
RESTAURANT_DENSITY,0.556757960997589,1.0136232002682912,0.9176542135795578
